════════════════════════════════════════════════════════
           VigoLang Lexical Analyzer Output             
           Author: Muhammad Ahmad                       
           Reg: L1F22BSCS0634                           
           Input File: test_program.vigo             
════════════════════════════════════════════════════════

Line 60: IDENTIFIER -> ^value
Line 60: PUNCTUATION_TERMINATOR -> @
Line 61: KEYWORD_FLOAT -> float_sarkar
Line 61: IDENTIFIER -> ^pi
Line 61: OPERATOR_ASSIGN -> :=
Line 61: NUMBER_FLOAT -> 3.14
Line 61: PUNCTUATION_TERMINATOR -> @
Line 62: KEYWORD_STRING -> bayania
Line 62: IDENTIFIER -> ^name
Line 62: OPERATOR_ASSIGN -> :=
Line 62: STRING_LITERAL -> "calc"
Line 62: PUNCTUATION_TERMINATOR -> @
Line 63: PUNCTUATION_BLOCK_END -> }}
Line 63: PUNCTUATION_TERMINATOR -> @
Line 65: KEYWORD_CONST -> ain
Line 65: KEYWORD_INT -> qaidi_no
Line 65: IDENTIFIER -> ^max
Line 65: OPERATOR_ASSIGN -> :=
Line 65: NUMBER_INTEGER -> 100
Line 65: PUNCTUATION_TERMINATOR -> @
Line 67: KEYWORD_INT -> qaidi_no
Line 67: IDENTIFIER -> ^flag
Line 67: OPERATOR_ASSIGN -> :=
Line 67: KEYWORD_TRUE -> neutral
Line 67: PUNCTUATION_TERMINATOR -> @
Line 68: KEYWORD_INT -> qaidi_no
Line 68: IDENTIFIER -> ^status
Line 68: OPERATOR_ASSIGN -> :=
Line 68: KEYWORD_FALSE -> janwar
Line 68: PUNCTUATION_TERMINATOR -> @
Line 70: KEYWORD_STRING -> bayania
Line 70: IDENTIFIER -> ^final
Line 70: OPERATOR_ASSIGN -> :=
Line 70: STRING_LITERAL -> "Done"
Line 70: PUNCTUATION_TERMINATOR -> @
Line 72: KEYWORD_PRINT -> farmaan
Line 72: OPERATOR_OUTPUT -> <<
Line 72: STRING_LITERAL -> "Complete"
Line 72: PUNCTUATION_TERMINATOR -> @

════════════════════════════════════════════════════════
                   Scanning Statistics                   
════════════════════════════════════════════════════════
Total Lines Processed:    72
Total Tokens Recognized:  241
Total Errors Found:       0
════════════════════════════════════════════════════════
